word_english,word_german,valence,arousal,dominance
aardvark,Erdferkel,6.26,2.41,4.27
abalone,Seeohr,5.3,2.65,4.95
abandon,verlassen,2.84,3.73,3.32
abandonment,Aufgabe,2.63,4.95,2.64
abbey,Abtei,5.85,2.2,5
abdomen,Abdomen,5.43,3.68,5.15
abdominal,abdominal,4.48,3.5,5.32
abduct,entführen,2.42,5.9,2.75
abduction,Entführung,2.05,5.33,3.02
abide,ausstehen,5.52,3.26,5.33
abiding,bleibend,5.57,3.59,6.6
ability,Fähigkeit,7,4.85,6.55
abject,erbärmlich,4,3.94,4.35
ablaze,in Flammen,5.15,6.75,4.58
able,imstande,6.64,3.38,6.17
abnormal,abnormal,3.53,4.48,4.7
abnormality,Anomalie,3.05,5,3.96
abode,Aufenthalt,5.28,2.9,5.05
abolish,abschaffen,3.84,4.18,4.65
abominable,abscheulich,4.05,5.45,4.62
abomination,Gräuel,2.5,5.9,3.8
abort,Abtreibung,3.1,5.8,3.38
abortion,Abtreibung,2.58,5.43,4.73
abracadabra,Abrakadabra,5.11,5.27,4.96
abrasive,Schleifmittel,4.26,6.1,4.94
abreast,nebeneinander,4.62,4.61,5.19
abrupt,abrupt,3.28,5.23,3.75
abscess,Abszess,2.79,4,3.95
absence,Abwesenheit,3.86,4.3,4.24
absent,abwesend,4.1,3.72,4.21
absinthe,Absinth,3.53,3.7,3.95
absolute,absolute,5.43,3.48,5.58
absolution,absolution,6.58,3.38,5.75
absolve,entbinden,4.58,3.53,4.82
absorb,absorbieren,5.5,4.27,5.62
abstain,verzichten,4.4,3.1,6.08
abstinence,Abstinenz,3.43,3.15,5.64
abstract,abstrakt,5.25,3.96,5.53
absurd,absurd,4.45,4.02,5.06
absurdity,Absurdität,4.06,4.7,5.37
abundance,Fülle,6.67,4.72,5.66
abundant,reichlich,7.55,4.21,5.81
abuse,Missbrauch,1.53,6.21,2.9
abusive,ausfallend,2.05,5.27,3.58
abysmal,miserabel,3.45,3.91,3.76
abyss,Abgrund,3.9,4.85,4
academic,akademisch,6.61,3.32,6.21
academy,Akademie,5.32,3.77,5.38
accelerant,Beschleuniger,4.59,4.81,6.04
accelerate,beschleunigen,6.1,6.04,6.15
accelerated,beschleunigt,6.21,4.75,6.29
acceleration,Beschleunigung,6.19,6.73,5.76
accelerator,Beschleuniger,5.63,5,6.65
accent,Akzent,6.48,4.95,5.36
accept,akzeptieren,6.39,2.8,5.94
acceptable,akzeptabel,6.59,3.65,6.58
acceptance,Annahme,6.84,4.3,6.49
access,Zugriff,6.68,5.3,6.89
accessible,zugänglich,6.68,3.2,6.58
accessory,Zubehörteil,5.35,4.22,5.83
